Days from today,Price
0,$483
1,$251
2,$251
3,$230
4,$230
5,$230
6,$230
7,$160
8,$171
9,$171
10,$160
11,$171
12,$171
13,$171
14,$152
15,$142
16,$132
17,$142
18,$132
19,$142
20,$142
21,$139
22,$142
23,$132
24,$121
25,$121
26,$135
27,$135
28,$139
29,$142
30,$132
31,$139
32,$132
33,$139
34,$142
35,$142
36,$142
37,$132
38,$139
39,$132
40,$142
41,$142
42,$142
43,$160
44,$132
45,$139
46,$132
47,$163
48,$179
49,$179
50,$163
51,$132
52,$139
53,$132
54,$142
55,$160
56,$170
57,$163
58,$132
59,$139
60,$132
61,$142
62,$142
63,$150
64,$152
65,$142
66,$139
67,$139
68,$142
69,$157
70,$157
71,$160
72,$142
73,$139
74,$139
75,$153
76,$153
77,$142
78,$132
79,$160
80,$139
81,$139
82,$142
83,$142
84,$142
85,$132
86,$142
87,$139
88,$139
89,$114
90,$134
91,$114
92,$114
93,$114
94,$114
95,$114
96,$114
97,$134
98,$114
99,$114
100,$114
101,$114
102,$114
103,$114
104,$164
105,$114
