Days from today,Price
0,$371
1,$371
2,$371
3,$371
4,$322
5,$367
6,$348
7,$222
8,$207
9,$207
10,$207
11,$228
12,$222
13,$222
14,$198
15,$168
16,$168
17,$187
18,$226
19,$257
20,$226
21,$184
22,$168
23,$168
24,$171
25,$183
26,$183
27,$184
28,$183
29,$160
30,$160
31,$180
32,$180
33,$194
34,$193
35,$184
36,$160
37,$160
38,$171
39,$190
40,$213
41,$203
42,$187
43,$168
44,$168
45,$188
46,$203
47,$203
48,$203
49,$188
50,$168
51,$168
52,$183
53,$190
54,$194
55,$203
56,$183
57,$180
58,$180
59,$171
60,$183
61,$203
62,$208
63,$184
64,$183
65,$183
66,$183
67,$194
68,$203
69,$203
70,$183
71,$183
72,$183
73,$187
74,$207
75,$243
76,$269
77,$218
78,$184
79,$184
80,$183
81,$184
82,$177
83,$207
84,$183
85,$183
86,$183
87,$183
88,$183
89,$177
90,$184
91,$184
92,$183
93,$184
94,$183
95,$183
96,$183
97,$184
98,$183
99,$180
100,$183
101,$187
102,$184
103,$184
104,$193
105,$184
106,$183
107,$187
108,$194
109,$188
110,$184
