Days from today,Price
0,$148
1,$148
2,$148
3,$145
4,$145
5,$145
6,$145
7,$183
8,$145
9,$145
10,$145
11,$145
12,$145
13,$155
14,$97
15,$97
16,$97
17,$97
18,$143
19,$97
20,$143
21,$87
22,$87
23,$87
24,$89
25,$109
26,$97
27,$99
28,$89
29,$86
30,$86
31,$89
32,$109
33,$97
34,$109
35,$97
36,$86
37,$86
38,$89
39,$109
40,$97
41,$109
42,$97
43,$86
44,$86
45,$97
46,$109
47,$97
48,$109
49,$89
50,$86
51,$86
52,$97
53,$109
54,$97
55,$109
56,$97
57,$86
58,$86
59,$97
60,$109
61,$97
62,$109
63,$97
64,$86
65,$86
66,$97
67,$109
68,$97
69,$109
70,$97
71,$86
72,$86
73,$97
74,$99
75,$97
76,$109
77,$97
78,$86
79,$86
80,$97
81,$99
82,$97
83,$99
84,$97
85,$86
86,$86
87,$97
88,$99
89,$97
90,$109
91,$97
92,$86
93,$86
94,$97
95,$109
96,$97
97,$109
98,$97
99,$86
100,$86
101,$109
102,$109
103,$109
104,$109
105,$109
106,$109
107,$86
108,$99
109,$109
110,$109
