Days from today,Price
0,$268
1,$268
2,$141
3,$141
4,$141
5,$141
6,$141
7,$90
8,$147
9,$130
10,$90
11,$90
12,$130
13,$147
14,$175
15,$142
16,$173
17,$69
18,$69
19,$69
20,$69
21,$69
22,$69
23,$69
24,$69
25,$69
26,$69
27,$69
28,$69
29,$69
30,$69
31,$69
32,$69
33,$79
34,$99
35,$79
36,$99
37,$79
38,$79
39,$79
40,$79
41,$99
42,$79
43,$99
44,$79
45,$79
46,$79
47,$79
48,$99
49,$79
50,$99
51,$79
52,$79
53,$79
54,$79
55,$99
56,$79
57,$115
58,$79
59,$79
60,$79
61,$79
62,$99
63,$79
64,$99
65,$79
66,$79
67,$79
68,$79
69,$99
70,$79
71,$99
72,$79
73,$79
74,$79
75,$79
76,$99
77,$79
78,$110
79,$79
80,$79
81,$79
82,$79
83,$99
84,$79
85,$99
86,$79
87,$79
88,$79
89,$79
90,$99
91,$79
92,$99
93,$79
94,$79
95,$79
96,$79
97,$99
98,$79
99,$99
100,$79
101,$79
102,$79
103,$79
104,$99
105,$79
