Days from today,Price
0,$303
1,$302
2,$302
3,$302
4,$302
5,$302
6,$302
7,$247
8,$254
9,$247
10,$246
11,$246
12,$246
13,$254
14,$237
15,$228
16,$242
17,$169
18,$169
19,$160
20,$192
21,$188
22,$224
23,$187
24,$169
25,$160
26,$160
27,$192
28,$188
29,$197
30,$187
31,$160
32,$160
33,$160
34,$160
35,$188
36,$180
37,$180
38,$160
39,$160
40,$192
41,$197
42,$233
43,$197
44,$197
45,$169
46,$169
47,$192
48,$228
49,$233
50,$197
51,$171
52,$160
53,$160
54,$160
55,$197
56,$228
57,$197
58,$180
59,$160
60,$171
61,$180
62,$222
63,$197
64,$197
65,$187
66,$187
67,$171
68,$180
69,$197
70,$197
71,$197
72,$180
73,$171
74,$171
75,$180
76,$197
77,$198
78,$197
79,$197
80,$180
81,$171
82,$180
83,$196
84,$196
85,$197
86,$180
87,$171
88,$160
89,$196
90,$196
91,$196
92,$197
93,$196
94,$171
95,$171
96,$192
97,$196
98,$196
99,$197
100,$192
101,$171
102,$180
103,$192
104,$196
105,$196
