Days from today,Price
0,$259
1,$259
2,$195
3,$216
4,$195
5,$195
6,$195
7,$168
8,$157
9,$161
10,$149
11,$149
12,$168
13,$171
14,$147
15,$148
16,$167
17,$143
18,$143
19,$143
20,$143
21,$149
22,$148
23,$147
24,$124
25,$147
26,$143
27,$147
28,$147
29,$147
30,$147
31,$124
32,$143
33,$143
34,$147
35,$150
36,$148
37,$147
38,$143
39,$143
40,$147
41,$198
42,$189
43,$179
44,$147
45,$143
46,$143
47,$143
48,$199
49,$189
50,$179
51,$170
52,$143
53,$147
54,$168
55,$191
56,$189
57,$148
58,$152
59,$147
60,$143
61,$143
62,$171
63,$188
64,$198
65,$170
66,$143
67,$143
68,$147
69,$170
70,$150
71,$148
72,$152
73,$143
74,$143
75,$170
76,$170
77,$200
78,$148
79,$198
80,$147
81,$143
82,$143
83,$147
84,$147
85,$170
86,$147
87,$143
88,$143
89,$143
90,$143
91,$143
92,$168
93,$147
94,$143
95,$143
96,$147
97,$143
98,$143
99,$147
100,$168
101,$143
102,$143
103,$147
104,$168
105,$147
