Days from today,Price
0,$243
1,$224
2,$224
3,$211
4,$211
5,$211
6,$211
7,$129
8,$133
9,$129
10,$129
11,$129
12,$140
13,$149
14,$129
15,$140
16,$159
17,$129
18,$129
19,$129
20,$159
21,$218
22,$194
23,$124
24,$123
25,$123
26,$124
27,$124
28,$123
29,$140
30,$124
31,$123
32,$123
33,$124
34,$124
35,$124
36,$149
37,$124
38,$123
39,$124
40,$124
41,$124
42,$139
43,$149
44,$128
45,$124
46,$124
47,$128
48,$159
49,$192
50,$183
51,$149
52,$123
53,$124
54,$128
55,$159
56,$179
57,$183
58,$128
59,$124
60,$124
61,$124
62,$124
63,$139
64,$173
65,$124
66,$124
67,$123
68,$124
69,$149
70,$124
71,$149
72,$124
73,$124
74,$123
75,$149
76,$189
77,$194
78,$149
79,$183
80,$128
81,$124
82,$124
83,$124
84,$124
85,$149
86,$124
87,$124
88,$123
89,$124
90,$124
91,$123
92,$170
93,$124
94,$124
95,$124
96,$124
97,$124
98,$124
99,$124
100,$124
101,$123
102,$124
103,$124
104,$124
105,$124
