Days from today,Price
0,$189
1,$135
2,$131
3,$131
4,$131
5,$134
6,$131
7,$59
8,$59
9,$59
10,$54
11,$54
12,$54
13,$99
14,$58
15,$54
16,$58
17,$49
18,$49
19,$49
20,$54
21,$49
22,$54
23,$49
24,$49
25,$49
26,$49
27,$54
28,$49
29,$54
30,$49
31,$49
32,$49
33,$49
34,$59
35,$49
36,$59
37,$49
38,$49
39,$49
40,$49
41,$59
42,$49
43,$59
44,$49
45,$49
46,$49
47,$49
48,$69
49,$69
50,$59
51,$49
52,$49
53,$49
54,$49
55,$59
56,$69
57,$59
58,$69
59,$49
60,$49
61,$49
62,$69
63,$69
64,$59
65,$49
66,$49
67,$49
68,$49
69,$69
70,$69
71,$59
72,$69
73,$49
74,$49
75,$49
76,$59
77,$69
78,$59
79,$69
80,$49
81,$49
82,$49
83,$59
84,$69
85,$59
86,$69
87,$49
88,$49
89,$49
90,$69
91,$49
92,$69
93,$49
94,$49
95,$49
96,$49
97,$69
98,$49
99,$69
100,$49
101,$49
102,$49
103,$49
104,$69
105,$49
