Days from today,Price
0,$258
1,$251
2,$251
3,$230
4,$230
5,$230
6,$230
7,$160
8,$171
9,$160
10,$160
11,$171
12,$171
13,$171
14,$142
15,$132
16,$142
17,$142
18,$142
19,$132
20,$132
21,$135
22,$132
23,$135
24,$121
25,$121
26,$132
27,$132
28,$139
29,$132
30,$139
31,$132
32,$132
33,$132
34,$132
35,$142
36,$132
37,$138
38,$132
39,$138
40,$132
41,$152
42,$170
43,$153
44,$142
45,$138
46,$139
47,$132
48,$152
49,$159
50,$153
51,$142
52,$132
53,$139
54,$132
55,$163
56,$163
57,$132
58,$142
59,$132
60,$132
61,$132
62,$152
63,$179
64,$178
65,$142
66,$132
67,$139
68,$132
69,$132
70,$150
71,$132
72,$142
73,$132
74,$132
75,$153
76,$132
77,$179
78,$132
79,$153
80,$139
81,$139
82,$132
83,$132
84,$142
85,$132
86,$142
87,$132
88,$139
89,$114
90,$114
91,$114
92,$114
93,$114
94,$114
95,$114
96,$114
97,$114
98,$114
99,$134
100,$114
101,$114
102,$114
103,$114
104,$114
105,$114
