Days from today,Price
0,$332
1,$287
2,$286
3,$286
4,$286
5,$286
6,$287
7,$279
8,$241
9,$244
10,$244
11,$240
12,$215
13,$240
14,$240
15,$144
16,$244
17,$144
18,$144
19,$144
20,$144
21,$215
22,$144
23,$217
24,$203
25,$144
26,$144
27,$144
28,$217
29,$144
30,$217
31,$144
32,$144
33,$144
34,$144
35,$217
36,$263
37,$239
38,$144
39,$205
40,$205
41,$203
42,$217
43,$144
44,$239
45,$144
46,$144
47,$144
48,$188
49,$217
50,$144
51,$217
52,$144
53,$144
54,$144
55,$203
56,$217
57,$205
58,$217
59,$203
60,$144
61,$188
62,$205
63,$217
64,$205
65,$217
66,$144
67,$144
68,$144
69,$144
70,$215
71,$205
72,$217
73,$144
74,$198
75,$144
76,$198
77,$215
78,$144
79,$217
80,$198
81,$144
82,$144
83,$203
84,$215
85,$144
86,$215
87,$144
88,$144
89,$144
90,$205
91,$215
92,$144
93,$215
94,$203
95,$144
96,$144
97,$205
98,$215
99,$203
100,$217
101,$144
102,$144
103,$144
104,$215
105,$217
106,$244
