Days from today,Price
0,$155
1,$136
2,$241
3,$166
4,$105
5,$105
6,$231
7,$270
8,$155
9,$175
10,$170
11,$146
12,$105
13,$136
14,$120
15,$120
16,$120
17,$109
18,$76
19,$76
20,$120
21,$109
22,$109
23,$109
24,$109
25,$105
26,$87
27,$109
28,$144
29,$87
30,$98
31,$87
32,$76
33,$87
34,$109
35,$109
36,$87
37,$120
38,$98
39,$87
40,$98
41,$109
42,$98
43,$98
44,$120
45,$98
46,$87
47,$98
48,$98
49,$131
50,$164
51,$156
52,$98
53,$98
54,$98
55,$98
56,$131
57,$120
58,$131
59,$98
60,$105
61,$105
62,$120
63,$120
64,$131
65,$131
66,$120
67,$105
68,$105
69,$120
70,$120
71,$120
72,$120
73,$120
74,$105
75,$105
76,$120
77,$120
78,$120
79,$120
80,$131
81,$105
82,$105
83,$120
84,$120
85,$120
86,$120
87,$120
88,$105
89,$105
90,$120
91,$120
92,$120
93,$120
94,$120
95,$105
96,$105
97,$120
98,$142
99,$131
100,$142
101,$142
102,$105
103,$105
104,$131
105,$144
106,$131
