Days from today,Price
0,$289
1,$305
2,$453
3,$223
4,$223
5,$223
6,$166
7,$145
8,$166
9,$166
10,$165
11,$240
12,$166
13,$133
14,$130
15,$166
16,$182
17,$158
18,$166
19,$165
20,$133
21,$130
22,$142
23,$165
24,$153
25,$165
26,$142
27,$133
28,$133
29,$174
30,$240
31,$299
32,$251
33,$174
34,$133
35,$133
36,$174
37,$174
38,$164
39,$174
40,$142
41,$133
42,$133
43,$165
44,$174
45,$142
46,$174
47,$142
48,$133
49,$130
50,$142
51,$174
52,$142
53,$168
54,$142
55,$130
56,$130
57,$142
58,$166
59,$130
60,$166
61,$152
62,$130
63,$142
64,$166
65,$168
66,$130
67,$165
68,$163
69,$130
70,$130
71,$142
72,$165
73,$130
74,$152
75,$130
76,$130
77,$130
78,$114
79,$114
80,$114
81,$165
82,$142
83,$92
84,$92
85,$114
86,$114
87,$114
88,$165
89,$142
90,$92
91,$92
92,$114
93,$114
94,$114
95,$166
96,$142
97,$92
98,$92
99,$125
100,$125
101,$125
102,$125
103,$142
104,$125
105,$125
106,$125
107,$125
108,$125
