Days from today,Price
0,$274
1,$272
2,$257
3,$241
4,$236
5,$262
6,$317
7,$311
8,$260
9,$214
10,$230
11,$222
12,$289
13,$325
14,$301
15,$289
16,$274
17,$208
18,$186
19,$180
20,$187
21,$180
22,$184
23,$141
24,$136
25,$141
26,$136
27,$169
28,$169
29,$184
30,$141
31,$136
32,$136
33,$171
34,$169
35,$163
36,$186
37,$141
38,$136
39,$136
40,$136
41,$141
42,$166
43,$184
44,$163
45,$136
46,$166
47,$169
48,$169
49,$163
50,$171
51,$136
52,$136
53,$136
54,$136
55,$136
56,$171
57,$184
58,$163
59,$136
60,$136
61,$180
62,$166
63,$163
64,$186
65,$163
66,$131
67,$136
68,$163
69,$163
70,$163
71,$163
72,$163
73,$131
74,$131
75,$131
76,$163
77,$136
78,$136
79,$163
80,$131
81,$131
82,$131
83,$163
84,$166
85,$136
86,$136
87,$131
88,$131
89,$131
90,$163
91,$166
92,$136
93,$131
94,$131
95,$131
96,$184
97,$187
98,$193
99,$187
100,$166
101,$191
102,$193
103,$163
104,$184
105,$193
