Days from today,Price
0,US$159
1,US$159
2,US$159
3,US$99
4,US$99
5,US$84
6,US$119
7,US$84
8,US$74
9,US$74
10,US$84
11,US$119
12,US$74
13,US$84
14,US$75
15,US$69
16,US$49
17,US$59
18,US$59
19,US$49
20,US$75
21,US$59
22,US$49
23,US$49
24,US$59
25,US$69
26,US$49
27,US$59
28,US$59
29,US$49
30,US$49
31,US$59
32,US$59
33,US$49
34,US$69
35,US$69
36,US$49
37,US$49
38,US$59
39,US$75
40,US$49
41,US$75
42,US$69
43,US$49
44,US$49
45,US$59
46,US$69
47,US$49
48,US$69
49,US$69
50,US$49
51,US$49
52,US$59
53,US$75
54,US$49
55,US$75
56,US$69
57,US$49
58,US$49
59,US$59
60,US$75
61,US$49
62,US$75
63,US$69
64,US$49
65,US$49
66,US$59
67,US$69
68,US$49
69,US$59
70,US$59
71,US$49
72,US$49
73,US$59
74,US$59
75,US$49
76,US$59
77,US$59
78,US$49
79,US$49
80,US$59
81,US$59
82,US$59
83,US$59
84,US$59
85,US$49
86,US$49
87,US$59
88,US$59
89,US$49
90,US$59
91,US$59
92,US$49
93,US$49
94,US$59
95,US$59
96,US$49
97,US$59
98,US$59
99,US$73
100,US$73
101,US$73
102,US$59
103,US$69
104,US$105
105,US$69
106,US$49
107,US$49
108,US$59
109,US$59
110,US$49
