Days from today,Price
0,$280
1,$234
2,$318
3,$180
4,$234
5,$234
6,$280
7,$177
8,$195
9,$177
10,$123
11,$123
12,$263
13,$215
14,$154
15,$154
16,$144
17,$123
18,$123
19,$134
20,$134
21,$123
22,$134
23,$134
24,$123
25,$123
26,$134
27,$134
28,$123
29,$134
30,$134
31,$123
32,$123
33,$134
34,$134
35,$123
36,$134
37,$134
38,$123
39,$123
40,$134
41,$134
42,$123
43,$134
44,$134
45,$123
46,$123
47,$134
48,$134
49,$123
50,$134
51,$134
52,$123
53,$123
54,$144
55,$144
56,$123
57,$144
58,$144
59,$123
60,$123
61,$134
62,$134
63,$123
64,$134
65,$134
66,$123
67,$123
68,$134
69,$134
70,$123
71,$134
72,$134
73,$123
74,$123
75,$134
76,$134
77,$153
78,$144
79,$134
80,$123
81,$123
82,$134
83,$144
84,$123
85,$154
86,$134
87,$123
88,$123
89,$134
90,$144
91,$144
92,$144
93,$134
94,$123
95,$123
96,$134
97,$177
98,$177
99,$154
100,$154
101,$183
102,$221
103,$154
104,$159
105,$230
