Days from today,Price
0,$148
1,$148
2,$148
3,$145
4,$145
5,$172
6,$145
7,$165
8,$145
9,$128
10,$145
11,$145
12,$145
13,$145
14,$89
15,$86
16,$86
17,$97
18,$137
19,$89
20,$137
21,$87
22,$86
23,$86
24,$97
25,$109
26,$97
27,$99
28,$97
29,$86
30,$86
31,$97
32,$99
33,$97
34,$109
35,$97
36,$86
37,$86
38,$97
39,$109
40,$97
41,$109
42,$89
43,$86
44,$86
45,$97
46,$109
47,$98
48,$109
49,$89
50,$86
51,$86
52,$97
53,$99
54,$97
55,$109
56,$97
57,$86
58,$86
59,$99
60,$109
61,$97
62,$99
63,$97
64,$86
65,$86
66,$97
67,$109
68,$97
69,$99
70,$97
71,$86
72,$86
73,$97
74,$99
75,$97
76,$99
77,$97
78,$86
79,$86
80,$97
81,$109
82,$97
83,$99
84,$97
85,$86
86,$86
87,$97
88,$99
89,$97
90,$99
91,$97
92,$86
93,$86
94,$97
95,$109
96,$97
97,$99
98,$97
99,$86
100,$86
101,$109
102,$109
103,$109
104,$99
105,$109
106,$86
107,$86
108,$99
109,$99
110,$99
