Days from today,Price
0,$321
1,$388
2,$388
3,$564
4,$298
5,$318
6,$318
7,$176
8,$208
9,$318
10,$288
11,$228
12,$228
13,$288
14,$378
15,$378
16,$347
17,$318
18,$228
19,$327
20,$248
21,$167
22,$167
23,$169
24,$167
25,$223
26,$223
27,$248
28,$228
29,$268
30,$248
31,$341
32,$378
33,$304
34,$288
35,$228
36,$228
37,$248
38,$248
39,$228
40,$308
41,$268
42,$306
43,$354
44,$398
45,$268
46,$268
47,$228
48,$248
49,$228
50,$228
51,$268
52,$248
53,$228
54,$228
55,$248
56,$228
57,$228
58,$248
59,$248
60,$228
61,$228
62,$268
63,$288
64,$228
65,$248
66,$248
67,$228
68,$228
69,$248
70,$278
71,$314
72,$298
73,$248
74,$248
75,$314
76,$248
77,$228
78,$228
79,$248
80,$248
81,$228
82,$228
83,$248
84,$228
85,$228
86,$268
87,$248
88,$228
89,$248
90,$268
91,$228
92,$228
93,$268
94,$288
95,$228
96,$248
97,$268
98,$228
99,$228
100,$268
101,$288
102,$228
103,$278
104,$268
105,$228
106,$228
