Days from today,Price
0,US$618
1,US$618
2,US$618
3,US$581
4,US$674
5,US$661
6,US$674
7,US$426
8,US$453
9,US$426
10,US$396
11,US$406
12,US$376
13,US$396
14,US$304
15,US$304
16,US$304
17,US$304
18,US$304
19,US$304
20,US$304
21,US$289
22,US$289
23,US$289
24,US$289
25,US$309
26,US$289
27,US$329
28,US$289
29,US$289
30,US$289
31,US$309
32,US$289
33,US$289
34,US$369
35,US$369
36,US$289
37,US$289
38,US$329
39,US$299
40,US$289
41,US$309
42,US$289
43,US$289
44,US$289
45,US$289
46,US$309
47,US$289
48,US$309
49,US$309
50,US$289
51,US$289
52,US$289
53,US$309
54,US$289
55,US$329
56,US$329
57,US$289
58,US$289
59,US$289
60,US$289
61,US$289
62,US$329
63,US$289
64,US$289
65,US$289
66,US$289
67,US$289
68,US$289
69,US$309
70,US$289
71,US$289
72,US$289
73,US$289
74,US$289
75,US$289
76,US$369
77,US$309
78,US$289
79,US$289
80,US$299
81,US$299
82,US$289
83,US$289
84,US$289
85,US$289
86,US$289
87,US$289
88,US$329
89,US$289
90,US$289
91,US$289
92,US$329
93,US$334
94,US$289
95,US$289
96,US$334
97,US$441
98,US$361
99,US$329
100,US$346
101,US$296
102,US$306
103,US$301
104,US$378
105,US$266
106,US$266
107,US$243
108,US$296
109,US$283
110,US$243
