Days from today,Price
0,$269
1,$277
2,$269
3,$269
4,$292
5,$292
6,$292
7,$223
8,$223
9,$223
10,$223
11,$223
12,$223
13,$223
14,$195
15,$166
16,$166
17,$198
18,$198
19,$198
20,$198
21,$148
22,$148
23,$148
24,$148
25,$148
26,$148
27,$148
28,$148
29,$148
30,$148
31,$148
32,$148
33,$148
34,$178
35,$148
36,$148
37,$148
38,$148
39,$148
40,$148
41,$198
42,$148
43,$148
44,$148
45,$148
46,$148
47,$148
48,$148
49,$148
50,$148
51,$148
52,$148
53,$148
54,$148
55,$148
56,$148
57,$148
58,$148
59,$148
60,$148
61,$148
62,$148
63,$148
64,$148
65,$148
66,$178
67,$178
68,$198
69,$148
70,$148
71,$148
72,$148
73,$148
74,$148
75,$148
76,$148
77,$148
78,$148
79,$148
80,$148
81,$148
82,$148
83,$148
84,$148
85,$148
86,$148
87,$148
88,$148
89,$148
90,$148
91,$148
92,$148
93,$148
94,$148
95,$148
96,$148
97,$148
98,$148
99,$148
100,$148
101,$148
102,$148
103,$148
104,$148
105,$148
106,$148
107,$148
108,$148
109,$148
110,$148
