Days from today,Price
0,US$502
1,US$437
2,US$485
3,US$415
4,US$497
5,US$415
6,US$565
7,US$566
8,US$397
9,US$345
10,US$345
11,US$339
12,US$334
13,US$315
14,US$292
15,US$217
16,US$215
17,US$215
18,US$255
19,US$245
20,US$319
21,US$235
22,US$217
23,US$205
24,US$215
25,US$265
26,US$225
27,US$415
28,US$235
29,US$215
30,US$205
31,US$225
32,US$235
33,US$215
34,US$383
35,US$255
36,US$205
37,US$205
38,US$205
39,US$215
40,US$205
41,US$335
42,US$205
43,US$205
44,US$205
45,US$205
46,US$215
47,US$205
48,US$275
49,US$205
50,US$205
51,US$205
52,US$205
53,US$255
54,US$205
55,US$299
56,US$215
57,US$205
58,US$205
59,US$205
60,US$205
61,US$205
62,US$299
63,US$235
64,US$225
65,US$205
66,US$265
67,US$265
68,US$255
69,US$277
70,US$261
71,US$205
72,US$235
73,US$261
74,US$261
75,US$205
76,US$257
77,US$257
78,US$215
79,US$235
80,US$265
81,US$235
82,US$215
83,US$257
84,US$261
85,US$225
86,US$215
87,US$261
88,US$305
89,US$279
90,US$299
91,US$297
92,US$309
93,US$309
94,US$277
95,US$301
96,US$349
97,US$457
98,US$297
99,US$319
100,US$298
101,US$273
102,US$335
103,US$332
104,US$429
105,US$354
106,US$283
107,US$241
108,US$241
109,US$245
110,US$235
