Days from today,Price
0,"US$1,191"
1,US$993
2,US$993
3,US$514
4,US$514
5,US$515
6,US$514
7,US$371
8,US$361
9,US$305
10,US$355
11,US$355
12,US$325
13,US$355
14,US$371
15,US$335
16,US$255
17,US$255
18,US$295
19,US$305
20,US$355
21,US$275
22,US$255
23,US$255
24,US$275
25,US$295
26,US$255
27,US$325
28,US$275
29,US$255
30,US$255
31,US$275
32,US$295
33,US$255
34,US$355
35,US$295
36,US$255
37,US$255
38,US$275
39,US$295
40,US$255
41,US$305
42,US$275
43,US$255
44,US$255
45,US$255
46,US$295
47,US$255
48,US$305
49,US$295
50,US$255
51,US$255
52,US$295
53,US$275
54,US$255
55,US$305
56,US$385
57,US$255
58,US$255
59,US$255
60,US$275
61,US$305
62,US$335
63,US$255
64,US$255
65,US$255
66,US$255
67,US$255
68,US$255
69,US$275
70,US$255
71,US$255
72,US$255
73,US$255
74,US$255
75,US$255
76,US$275
77,US$255
78,US$255
79,US$255
80,US$255
81,US$255
82,US$255
83,US$275
84,US$255
85,US$255
86,US$255
87,US$305
88,US$305
89,US$305
90,US$305
91,US$305
92,US$295
93,US$295
94,US$305
95,US$345
96,US$355
97,US$385
98,US$355
99,US$325
100,US$335
101,US$305
102,US$305
103,US$305
104,US$435
105,US$305
106,US$295
107,US$245
108,US$245
109,US$255
110,US$245
