Days from today,Price
0,$963
1,$860
2,$762
3,$712
4,$876
5,$993
6,$976
7,$821
8,$819
9,$854
10,$980
11,"$1,375"
12,"$1,528"
13,$968
14,$772
15,$720
16,$710
17,$730
18,$794
19,$845
20,$743
21,$709
22,$689
23,$689
24,$699
25,$740
26,$794
27,$736
28,$709
29,$689
30,$709
31,$719
32,$757
33,$986
34,$747
35,$709
36,$689
37,$709
38,$730
39,$794
40,$968
41,$748
42,$728
43,$728
44,$728
45,$728
46,$822
47,"$1,124"
48,$758
49,$728
50,$715
51,$716
52,$709
53,$736
54,$886
55,$757
56,$730
57,$715
58,$715
59,$731
60,$758
61,$977
62,$757
63,$730
64,$723
65,$731
66,$872
67,$962
68,"$1,081"
69,$963
70,$804
71,$734
72,$728
73,$800
74,$898
75,$996
76,$783
77,$730
78,$709
79,$720
80,$709
81,$726
82,$787
83,$736
84,$709
85,$709
86,$709
87,$709
88,$736
89,$771
90,$736
91,$709
92,$709
93,$709
94,$719
95,$736
96,$824
97,$740
98,$709
99,$709
100,$731
101,$720
102,$747
103,$862
104,$757
105,$720
106,$715
107,$731
108,$731
109,$815
110,$861
