Days from today,Price
0,$313
1,$290
2,$290
3,$288
4,$288
5,$288
6,$288
7,$182
8,$182
9,$182
10,$182
11,$182
12,$182
13,$182
14,$146
15,$146
16,$146
17,$146
18,$146
19,$146
20,$146
21,$146
22,$146
23,$146
24,$146
25,$146
26,$146
27,$146
28,$146
29,$146
30,$146
31,$146
32,$146
33,$146
34,$146
35,$146
36,$146
37,$146
38,$146
39,$146
40,$182
41,$202
42,$146
43,$146
44,$146
45,$146
46,$146
47,$146
48,$157
49,$146
50,$146
51,$146
52,$146
53,$146
54,$146
55,$146
56,$146
57,$146
58,$146
59,$146
60,$146
61,$157
62,$146
63,$146
64,$146
65,$146
66,$146
67,$157
68,$182
69,$146
70,$146
71,$146
72,$146
73,$146
74,$146
75,$146
76,$146
77,$157
78,$146
79,$146
80,$146
81,$146
82,$146
83,$146
84,$146
85,$146
86,$146
87,$146
88,$146
89,$146
90,$146
91,$146
92,$146
93,$146
94,$146
95,$146
96,$146
97,$146
98,$146
99,$146
100,$146
101,$146
102,$146
103,$146
104,$146
105,$146
106,$146
107,$146
108,$146
109,$146
110,$146
