Days from today,Price
0,$771
1,$513
2,$502
3,$432
4,$499
5,$432
6,$489
7,$329
8,$303
9,$318
10,$373
11,$559
12,$520
13,$552
14,$353
15,$298
16,$290
17,$308
18,$318
19,$298
20,$329
21,$298
22,$290
23,$290
24,$298
25,$340
26,$320
27,$383
28,$298
29,$290
30,$298
31,$298
32,$318
33,$308
34,$350
35,$308
36,$290
37,$305
38,$330
39,$352
40,$340
41,$483
42,$318
43,$290
44,$324
45,$345
46,$340
47,$339
48,$400
49,$318
50,$308
51,$314
52,$329
53,$318
54,$320
55,$360
56,$318
57,$313
58,$314
59,$329
60,$373
61,$348
62,$397
63,$328
64,$308
65,$319
66,$340
67,$394
68,$502
69,$445
70,$394
71,$321
72,$321
73,$350
74,$318
75,$350
76,$380
77,$340
78,$313
79,$313
80,$329
81,$318
82,$318
83,$360
84,$329
85,$313
86,$318
87,$329
88,$329
89,$318
90,$340
91,$329
92,$308
93,$318
94,$329
95,$318
96,$318
97,$329
98,$340
99,$319
100,$322
101,$340
102,$329
103,$318
104,$380
105,$380
106,$340
107,$318
108,$359
109,$329
110,$318
