Days from today,Price
0,"US$1,021"
1,US$987
2,"US$1,013"
3,US$831
4,US$787
5,US$773
6,US$831
7,US$653
8,US$593
9,US$660
10,US$538
11,US$553
12,US$498
13,US$498
14,US$458
15,US$498
16,US$498
17,US$458
18,US$458
19,US$398
20,US$428
21,US$405
22,US$405
23,US$405
24,US$405
25,US$405
26,US$378
27,US$378
28,US$405
29,US$405
30,US$405
31,US$378
32,US$405
33,US$405
34,US$405
35,US$405
36,US$405
37,US$405
38,US$405
39,US$405
40,US$405
41,US$405
42,US$405
43,US$388
44,US$405
45,US$405
46,US$398
47,US$317
48,US$405
49,US$398
50,US$317
51,US$358
52,US$405
53,US$378
54,US$317
55,US$405
56,US$405
57,US$317
58,US$317
59,US$405
60,US$358
61,US$358
62,US$405
63,US$405
64,US$388
65,US$388
66,US$398
67,US$358
68,US$388
69,US$405
70,US$405
71,US$378
72,US$358
73,US$405
74,US$358
75,US$405
76,US$358
77,US$405
78,US$317
79,US$317
80,US$358
81,US$358
82,US$358
83,US$358
84,US$358
85,US$358
86,US$358
87,US$378
88,US$405
89,US$425
90,US$405
91,US$405
92,US$405
93,US$408
94,US$358
95,US$425
96,US$509
97,US$529
98,US$471
99,US$405
100,US$408
101,US$358
102,US$448
103,US$481
104,US$471
105,US$481
106,US$405
107,US$405
108,US$358
109,US$358
110,US$405
