Days from today,Price
0,$389
1,$233
2,$233
3,$248
4,$268
5,$268
6,$268
7,$168
8,$118
9,$118
10,$168
11,$188
12,$260
13,$260
14,$183
15,$118
16,$118
17,$183
18,$183
19,$168
20,$188
21,$168
22,$118
23,$118
24,$168
25,$188
26,$188
27,$188
28,$168
29,$153
30,$153
31,$188
32,$188
33,$188
34,$188
35,$188
36,$188
37,$188
38,$188
39,$188
40,$208
41,$188
42,$188
43,$188
44,$188
45,$188
46,$188
47,$188
48,$188
49,$188
50,$188
51,$188
52,$188
53,$188
54,$188
55,$208
56,$188
57,$188
58,$188
59,$188
60,$188
61,$188
62,$208
63,$188
64,$188
65,$188
66,$188
67,$188
68,$188
69,$208
70,$208
71,$188
72,$188
73,$188
74,$208
75,$188
76,$188
77,$188
78,$188
79,$188
80,$188
81,$208
82,$188
83,$188
84,$188
85,$188
86,$188
87,$188
88,$188
89,$188
90,$188
91,$188
92,$188
93,$188
94,$188
95,$188
96,$188
97,$188
98,$188
99,$188
100,$188
101,$188
102,$208
103,$188
104,$188
105,$228
106,$188
107,$188
108,$188
109,$228
110,$188
