Days from today,Price
0,$624
1,$624
2,$624
3,$626
4,$626
5,$624
6,$545
7,$440
8,$422
9,$422
10,$485
11,$585
12,$587
13,$521
14,$420
15,$336
16,$336
17,$367
18,$374
19,$374
20,$390
21,$365
22,$328
23,$336
24,$367
25,$372
26,$377
27,$387
28,$367
29,$328
30,$320
31,$367
32,$379
33,$401
34,$406
35,$367
36,$336
37,$336
38,$376
39,$406
40,$406
41,$406
42,$376
43,$336
44,$336
45,$375
46,$406
47,$397
48,$406
49,$368
50,$356
51,$356
52,$365
53,$385
54,$406
55,$411
56,$367
57,$363
58,$365
59,$365
60,$387
61,$406
62,$418
63,$365
64,$360
65,$365
66,$394
67,$421
68,$506
69,$545
70,$440
71,$361
72,$367
73,$385
74,$387
75,$360
76,$421
77,$384
78,$360
79,$361
80,$365
81,$365
82,$360
83,$368
84,$367
85,$360
86,$361
87,$365
88,$365
89,$365
90,$368
91,$365
92,$365
93,$365
94,$376
95,$368
96,$368
97,$386
98,$367
99,$365
100,$374
101,$388
102,$415
103,$398
104,$387
105,$431
106,$367
107,$367
108,$368
109,$428
110,$390
