Days from today,Price
0,$716
1,$567
2,$383
3,$423
4,$423
5,$443
6,$434
7,$390
8,$330
9,$330
10,$371
11,$431
12,$493
13,$445
14,$369
15,$318
16,$318
17,$318
18,$318
19,$318
20,$374
21,$318
22,$318
23,$318
24,$318
25,$318
26,$318
27,$318
28,$318
29,$318
30,$318
31,$318
32,$318
33,$318
34,$318
35,$318
36,$318
37,$318
38,$326
39,$360
40,$354
41,$328
42,$318
43,$318
44,$318
45,$318
46,$318
47,$354
48,$339
49,$326
50,$326
51,$326
52,$326
53,$339
54,$360
55,$381
56,$326
57,$326
58,$326
59,$326
60,$354
61,$348
62,$381
63,$334
64,$332
65,$332
66,$351
67,$406
68,$402
69,$410
70,$360
71,$332
72,$286
73,$360
74,$360
75,$351
76,$360
77,$351
78,$332
79,$332
80,$326
81,$349
82,$332
83,$351
84,$326
85,$332
86,$332
87,$326
88,$342
89,$326
90,$350
91,$326
92,$326
93,$326
94,$342
95,$342
96,$334
97,$349
98,$342
99,$338
100,$342
101,$410
102,$390
103,$351
104,$350
105,$338
106,$338
107,$338
108,$387
109,$428
110,$371
