Days from today,Price
0,$605
1,$603
2,$603
3,$554
4,$555
5,$555
6,$540
7,$499
8,$507
9,$507
10,$493
11,$501
12,$507
13,$442
14,$411
15,$420
16,$389
17,$377
18,$418
19,$352
20,$352
21,$357
22,$411
23,$379
24,$366
25,$368
26,$320
27,$352
28,$348
29,$367
30,$435
31,$388
32,$397
33,$320
34,$320
35,$348
36,$340
37,$387
38,$391
39,$408
40,$352
41,$366
42,$389
43,$414
44,$436
45,$397
46,$397
47,$352
48,$397
49,$391
50,$414
51,$393
52,$394
53,$407
54,$320
55,$393
56,$421
57,$393
58,$393
59,$394
60,$415
61,$387
62,$402
63,$394
64,$394
65,$405
66,$421
67,$415
68,$360
69,$394
70,$394
71,$415
72,$393
73,$393
74,$393
75,$378
76,$382
77,$358
78,$394
79,$394
80,$402
81,$393
82,$360
83,$393
84,$358
85,$394
86,$393
87,$393
88,$382
89,$393
90,$393
91,$390
92,$394
93,$393
94,$393
95,$393
96,$393
97,$393
98,$378
99,$394
100,$393
101,$393
102,$404
103,$393
104,$393
105,$393
