Days from today,Price
0,$364
1,$364
2,$426
3,$282
4,$425
5,$282
6,$282
7,$299
8,$353
9,$351
10,$282
11,$282
12,$351
13,$344
14,$282
15,$337
16,$329
17,$282
18,$312
19,$276
20,$256
21,$236
22,$282
23,$282
24,$256
25,$273
26,$282
27,$273
28,$236
29,$302
30,$365
31,$346
32,$346
33,$258
34,$282
35,$258
36,$282
37,$282
38,$278
39,$282
40,$295
41,$297
42,$394
43,$404
44,$316
45,$278
46,$295
47,$287
48,$295
49,$278
50,$316
51,$295
52,$278
53,$297
54,$258
55,$282
56,$258
57,$316
58,$282
59,$278
60,$295
61,$258
62,$295
63,$258
64,$316
65,$282
66,$278
67,$287
68,$282
69,$282
70,$278
71,$282
72,$282
73,$278
74,$297
75,$282
76,$282
77,$236
78,$282
79,$282
80,$256
81,$282
82,$258
83,$282
84,$236
85,$282
86,$282
87,$236
88,$264
89,$228
90,$198
91,$198
92,$282
93,$256
94,$234
95,$198
96,$228
97,$198
98,$198
99,$282
100,$282
101,$234
102,$198
103,$228
104,$198
105,$228
