Days from today,Price
0,$518
1,$518
2,$390
3,$418
4,$430
5,$390
6,$345
7,$318
8,$376
9,$418
10,$300
11,$318
12,$387
13,$315
14,$294
15,$336
16,$335
17,$300
18,$342
19,$286
20,$286
21,$300
22,$368
23,$335
24,$300
25,$294
26,$286
27,$290
28,$294
29,$336
30,$362
31,$348
32,$315
33,$286
34,$290
35,$299
36,$365
37,$378
38,$299
39,$286
40,$290
41,$355
42,$355
43,$396
44,$359
45,$347
46,$304
47,$286
48,$367
49,$371
50,$388
51,$372
52,$301
53,$362
54,$315
55,$349
56,$353
57,$391
58,$342
59,$341
60,$355
61,$286
62,$320
63,$353
64,$396
65,$362
66,$362
67,$366
68,$294
69,$340
70,$304
71,$381
72,$340
73,$303
74,$300
75,$386
76,$340
77,$376
78,$397
79,$396
80,$286
81,$300
82,$307
83,$290
84,$294
85,$340
86,$294
87,$286
88,$342
89,$286
90,$286
91,$290
92,$336
93,$290
94,$286
95,$342
96,$307
97,$290
98,$300
99,$342
100,$342
101,$339
102,$362
103,$368
104,$315
105,$342
