Days from today,Price
0,$480
1,$448
2,$448
3,$356
4,$381
5,$373
6,$364
7,$258
8,$328
9,$416
10,$320
11,$307
12,$367
13,$289
14,$258
15,$279
16,$302
17,$278
18,$298
19,$257
20,$287
21,$404
22,$338
23,$252
24,$256
25,$263
26,$248
27,$248
28,$248
29,$280
30,$268
31,$278
32,$298
33,$248
34,$248
35,$252
36,$298
37,$289
38,$278
39,$298
40,$248
41,$248
42,$278
43,$298
44,$298
45,$278
46,$298
47,$303
48,$298
49,$344
50,$342
51,$292
52,$257
53,$322
54,$268
55,$298
56,$328
57,$333
58,$292
59,$264
60,$315
61,$248
62,$248
63,$278
64,$354
65,$338
66,$367
67,$342
68,$311
69,$298
70,$248
71,$338
72,$287
73,$256
74,$324
75,$298
76,$351
77,$381
78,$381
79,$366
80,$256
81,$295
82,$248
83,$248
84,$248
85,$340
86,$248
87,$248
88,$292
89,$248
90,$248
91,$247
92,$292
93,$248
94,$248
95,$295
96,$248
97,$248
98,$248
99,$248
100,$320
101,$248
102,$299
103,$310
104,$248
105,$248
