Days from today,Price
0,$323
1,$270
2,$266
3,$203
4,$203
5,$203
6,$188
7,$117
8,$117
9,$117
10,$103
11,$108
12,$116
13,$148
14,$116
15,$103
16,$116
17,$116
18,$116
19,$98
20,$103
21,$98
22,$103
23,$103
24,$98
25,$103
26,$98
27,$103
28,$98
29,$103
30,$117
31,$98
32,$108
33,$98
34,$108
35,$98
36,$108
37,$108
38,$98
39,$108
40,$98
41,$108
42,$108
43,$128
44,$118
45,$118
46,$108
47,$128
48,$118
49,$118
50,$128
51,$138
52,$118
53,$128
54,$138
55,$108
56,$127
57,$138
58,$138
59,$118
60,$118
61,$128
62,$118
63,$138
64,$138
65,$128
66,$118
67,$108
68,$128
69,$118
70,$138
71,$138
72,$138
73,$118
74,$118
75,$128
76,$108
77,$138
78,$138
79,$138
80,$118
81,$118
82,$128
83,$108
84,$118
85,$108
86,$138
87,$98
88,$108
89,$98
90,$118
91,$98
92,$118
93,$118
94,$98
95,$108
96,$98
97,$138
98,$98
99,$118
100,$138
101,$98
102,$108
103,$98
104,$138
105,$98
