Days from today,Price
0,$488
1,$481
2,$481
3,$390
4,$401
5,$401
6,$390
7,$342
8,$342
9,$342
10,$320
11,$330
12,$330
13,$334
14,$284
15,$284
16,$284
17,$281
18,$284
19,$264
20,$263
21,$256
22,$284
23,$270
24,$263
25,$281
26,$264
27,$277
28,$278
29,$284
30,$284
31,$284
32,$284
33,$264
34,$284
35,$284
36,$332
37,$284
38,$284
39,$299
40,$264
41,$294
42,$309
43,$333
44,$321
45,$318
46,$313
47,$264
48,$294
49,$298
50,$321
51,$320
52,$309
53,$313
54,$264
55,$313
56,$313
57,$321
58,$284
59,$289
60,$294
61,$284
62,$294
63,$318
64,$321
65,$321
66,$298
67,$299
68,$284
69,$299
70,$289
71,$333
72,$302
73,$284
74,$264
75,$313
76,$318
77,$318
78,$321
79,$321
80,$284
81,$284
82,$284
83,$284
84,$284
85,$291
86,$291
87,$274
88,$274
89,$228
90,$228
91,$228
92,$228
93,$248
94,$228
95,$228
96,$228
97,$228
98,$228
99,$248
100,$278
101,$228
102,$228
103,$228
104,$228
105,$228
