Days from today,Price
0,$761
1,"$1,031"
2,$536
3,$610
4,$531
5,$582
6,$662
7,$426
8,$426
9,$462
10,$470
11,$571
12,$442
13,$442
14,$334
15,$342
16,$386
17,$396
18,$516
19,$407
20,$395
21,$378
22,$334
23,$392
24,$396
25,$467
26,$396
27,$392
28,$355
29,$370
30,$402
31,$482
32,$477
33,$420
34,$402
35,$374
36,$370
37,$392
38,$423
39,$465
40,$405
41,$402
42,$370
43,$370
44,$391
45,$396
46,$431
47,$405
48,$402
49,$342
50,$342
51,$392
52,$396
53,$477
54,$418
55,$410
56,$372
57,$370
58,$392
59,$396
60,$433
61,$394
62,$420
63,$372
64,$362
65,$388
66,$405
67,$433
68,$396
69,$391
70,$342
71,$362
72,$386
73,$362
74,$409
75,$342
76,$384
77,$362
78,$342
79,$390
80,$370
81,$409
82,$288
83,$388
84,$342
85,$362
86,$391
87,$370
88,$433
89,$394
90,$395
91,$370
92,$370
93,$391
94,$413
95,$451
96,$424
97,$388
98,$420
99,$391
100,$392
101,$451
102,$409
103,$433
104,$420
105,$391
106,$391
107,$391
108,$431
