Days from today,Price
0,$424
1,$410
2,$420
3,$521
4,$597
5,$552
6,$521
7,$386
8,$332
9,$280
10,$332
11,$342
12,$332
13,$377
14,$297
15,$280
16,$280
17,$280
18,$357
19,$549
20,$369
21,$280
22,$280
23,$280
24,$297
25,$357
26,$332
27,$346
28,$284
29,$280
30,$280
31,$294
32,$378
33,$356
34,$379
35,$301
36,$284
37,$280
38,$321
39,$378
40,$389
41,$396
42,$322
43,$280
44,$280
45,$298
46,$362
47,$390
48,$379
49,$332
50,$280
51,$284
52,$294
53,$362
54,$338
55,$396
56,$322
57,$280
58,$280
59,$294
60,$348
61,$328
62,$369
63,$284
64,$280
65,$280
66,$362
67,$434
68,$427
69,$387
70,$362
71,$318
72,$322
73,$342
74,$408
75,$388
76,$314
77,$336
78,$280
79,$297
80,$331
81,$388
82,$413
83,$400
84,$280
85,$280
86,$280
87,$280
88,$280
89,$280
90,$280
91,$280
92,$280
93,$280
94,$284
95,$280
96,$280
97,$322
98,$322
99,$280
100,$280
101,$342
102,$398
103,$303
104,$342
105,$332
106,$280
107,$332
108,$356
109,$398
110,$318
