Days from today,Price
0,$542
1,$402
2,$402
3,$380
4,$402
5,$380
6,$487
7,$354
8,$312
9,$296
10,$312
11,$312
12,$312
13,$450
14,$312
15,$261
16,$261
17,$342
18,$391
19,$433
20,$391
21,$342
22,$283
23,$261
24,$312
25,$342
26,$307
27,$342
28,$285
29,$285
30,$296
31,$334
32,$342
33,$425
34,$468
35,$349
36,$285
37,$285
38,$338
39,$349
40,$307
41,$349
42,$285
43,$285
44,$285
45,$312
46,$342
47,$307
48,$349
49,$285
50,$285
51,$261
52,$326
53,$349
54,$307
55,$338
56,$323
57,$261
58,$261
59,$312
60,$312
61,$307
62,$349
63,$326
64,$261
65,$285
66,$334
67,$338
68,$296
69,$312
70,$312
71,$261
72,$261
73,$285
74,$296
75,$283
76,$296
77,$285
78,$261
79,$259
80,$230
81,$283
82,$261
83,$318
84,$283
85,$186
86,$186
87,$230
88,$318
89,$281
90,$318
91,$285
92,$186
93,$186
94,$285
95,$342
96,$307
97,$312
98,$312
99,$219
100,$219
101,$252
102,$312
103,$252
104,$252
105,$285
106,$252
107,$252
108,$252
109,$252
110,$252
