Days from today,Price
0,US$519
1,US$494
2,US$494
3,US$450
4,US$444
5,US$423
6,US$433
7,US$444
8,US$563
9,US$494
10,US$454
11,US$475
12,US$493
13,US$443
14,US$444
15,US$454
16,US$424
17,US$454
18,US$423
19,US$443
20,US$464
21,US$444
22,US$424
23,US$424
24,US$424
25,US$403
26,US$443
27,US$464
28,US$444
29,US$424
30,US$424
31,US$444
32,US$444
33,US$464
34,US$464
35,US$494
36,US$424
37,US$424
38,US$444
39,US$444
40,US$464
41,US$444
42,US$473
43,US$473
44,US$454
45,US$494
46,US$444
47,US$494
48,US$473
49,US$444
50,US$424
51,US$424
52,US$454
53,US$444
54,US$494
55,US$494
56,US$444
57,US$453
58,US$454
59,US$444
60,US$444
61,US$464
62,US$444
63,US$444
64,US$424
65,US$424
66,US$424
67,US$433
68,US$433
69,US$464
70,US$444
71,US$424
72,US$424
73,US$424
74,US$433
75,US$464
76,US$444
77,US$444
78,US$424
79,US$424
80,US$444
81,US$479
82,US$464
83,US$444
84,US$444
85,US$424
86,US$424
87,US$424
88,US$444
89,US$464
90,US$484
91,US$444
92,US$424
93,US$494
94,US$604
95,US$748
96,"US$1,009"
97,"US$1,123"
98,US$989
99,US$759
100,US$693
101,US$607
102,US$479
103,US$464
104,US$464
105,US$444
106,US$424
107,US$424
108,US$424
109,US$444
110,US$464
