Days from today,Price
0,$620
1,$536
2,$525
3,$501
4,$519
5,$471
6,$510
7,$413
8,$541
9,$422
10,$417
11,$409
12,$536
13,$536
14,$469
15,$469
16,$469
17,$399
18,$372
19,$373
20,$373
21,$360
22,$367
23,$357
24,$355
25,$357
26,$355
27,$355
28,$355
29,$367
30,$357
31,$355
32,$357
33,$357
34,$338
35,$325
36,$372
37,$358
38,$331
39,$367
40,$338
41,$338
42,$326
43,$366
44,$325
45,$347
46,$355
47,$355
48,$338
49,$325
50,$367
51,$272
52,$360
53,$367
54,$367
55,$272
56,$333
57,$367
58,$358
59,$355
60,$367
61,$367
62,$326
63,$358
64,$358
65,$325
66,$347
67,$367
68,$367
69,$331
70,$331
71,$358
72,$325
73,$340
74,$343
75,$360
76,$331
77,$331
78,$325
79,$325
80,$267
81,$333
82,$325
83,$331
84,$331
85,$325
86,$325
87,$267
88,$358
89,$325
90,$331
91,$331
92,$358
93,$367
94,$367
95,$333
96,$367
97,$382
98,$380
99,$358
100,$380
101,$384
102,$554
103,$380
104,$378
105,$380
