Days from today,Price
0,US$258
1,US$243
2,US$233
3,US$173
4,US$183
5,US$183
6,US$193
7,US$168
8,US$143
9,US$133
10,US$133
11,US$178
12,US$158
13,US$133
14,US$149
15,US$128
16,US$98
17,US$108
18,US$118
19,US$118
20,US$143
21,US$149
22,US$108
23,US$98
24,US$108
25,US$128
26,US$128
27,US$108
28,US$118
29,US$108
30,US$98
31,US$108
32,US$118
33,US$108
34,US$118
35,US$128
36,US$108
37,US$98
38,US$108
39,US$143
40,US$108
41,US$143
42,US$128
43,US$108
44,US$98
45,US$108
46,US$128
47,US$118
48,US$118
49,US$138
50,US$118
51,US$98
52,US$108
53,US$143
54,US$133
55,US$133
56,US$128
57,US$108
58,US$98
59,US$108
60,US$143
61,US$108
62,US$133
63,US$138
64,US$108
65,US$98
66,US$108
67,US$128
68,US$108
69,US$108
70,US$118
71,US$108
72,US$98
73,US$108
74,US$118
75,US$118
76,US$108
77,US$118
78,US$108
79,US$98
80,US$108
81,US$118
82,US$118
83,US$108
84,US$118
85,US$108
86,US$98
87,US$108
88,US$118
89,US$108
90,US$108
91,US$118
92,US$108
93,US$118
94,US$147
95,US$143
96,US$118
97,US$145
98,US$229
99,US$145
100,US$145
101,US$133
102,US$118
103,US$128
104,US$167
105,US$128
106,US$108
107,US$98
108,US$108
109,US$118
110,US$108
