Days from today,Price
0,$495
1,$470
2,$477
3,$446
4,$396
5,$446
6,$519
7,$353
8,$330
9,$335
10,$356
11,$446
12,$363
13,$335
14,$289
15,$289
16,$289
17,$312
18,$333
19,$323
20,$313
21,$289
22,$289
23,$289
24,$323
25,$355
26,$333
27,$343
28,$300
29,$289
30,$313
31,$374
32,$433
33,$366
34,$340
35,$300
36,$300
37,$330
38,$363
39,$393
40,$333
41,$330
42,$289
43,$289
44,$340
45,$355
46,$366
47,$321
48,$329
49,$289
50,$289
51,$300
52,$379
53,$373
54,$341
55,$319
56,$289
57,$289
58,$300
59,$364
60,$358
61,$321
62,$290
63,$300
64,$289
65,$300
66,$371
67,$353
68,$333
69,$330
70,$289
71,$289
72,$289
73,$329
74,$358
75,$309
76,$301
77,$297
78,$251
79,$251
80,$251
81,$273
82,$251
83,$251
84,$251
85,$251
86,$251
87,$251
88,$327
89,$251
90,$251
91,$251
92,$251
93,$251
94,$251
95,$393
96,$327
97,$251
98,$251
99,$251
100,$251
101,$251
102,$273
103,$338
104,$251
105,$251
106,$251
107,$251
108,$251
