Days from today,Price
0,$331
1,$293
2,$293
3,$289
4,$289
5,$357
6,$317
7,$262
8,$242
9,$244
10,$242
11,$287
12,$242
13,$287
14,$179
15,$179
16,$179
17,$194
18,$252
19,$187
20,$236
21,$179
22,$172
23,$172
24,$187
25,$219
26,$194
27,$219
28,$194
29,$172
30,$172
31,$187
32,$210
33,$194
34,$219
35,$194
36,$172
37,$172
38,$194
39,$219
40,$194
41,$219
42,$187
43,$172
44,$172
45,$194
46,$219
47,$196
48,$219
49,$187
50,$172
51,$172
52,$194
53,$219
54,$194
55,$219
56,$194
57,$172
58,$172
59,$199
60,$219
61,$194
62,$219
63,$194
64,$172
65,$172
66,$194
67,$219
68,$194
69,$219
70,$194
71,$172
72,$172
73,$194
74,$199
75,$194
76,$199
77,$194
78,$172
79,$172
80,$194
81,$219
82,$194
83,$219
84,$194
85,$172
86,$172
87,$194
88,$219
89,$194
90,$219
91,$194
92,$172
93,$172
94,$207
95,$219
96,$207
97,$219
98,$207
99,$207
100,$172
101,$219
102,$219
103,$219
104,$219
105,$219
106,$172
107,$172
108,$199
109,$219
110,$219
