Days from today,Price
0,$411
1,$374
2,$429
3,$374
4,$336
5,$298
6,$347
7,$295
8,$231
9,$260
10,$219
11,$188
12,$188
13,$219
14,$174
15,$219
16,$207
17,$215
18,$152
19,$152
20,$163
21,$174
22,$152
23,$174
24,$163
25,$163
26,$163
27,$174
28,$207
29,$163
30,$207
31,$174
32,$174
33,$174
34,$174
35,$218
36,$174
37,$218
38,$174
39,$174
40,$174
41,$174
42,$218
43,$196
44,$236
45,$218
46,$174
47,$174
48,$174
49,$218
50,$218
51,$218
52,$196
53,$174
54,$174
55,$174
56,$218
57,$185
58,$218
59,$196
60,$174
61,$174
62,$174
63,$218
64,$218
65,$242
66,$198
67,$174
68,$174
69,$174
70,$218
71,$174
72,$218
73,$174
74,$174
75,$174
76,$174
77,$218
78,$174
79,$218
80,$174
81,$174
82,$174
83,$174
84,$218
85,$174
86,$218
87,$174
88,$174
89,$174
90,$174
91,$218
92,$174
93,$218
94,$174
95,$174
96,$174
97,$196
98,$218
99,$196
100,$218
101,$196
102,$185
103,$185
104,$218
105,$218
106,$207
